id,first_name,last_name,email,gender,ip_address,created_at,age,lifetime_value,churn_risk_score,segment
26,Kristofor,Cockshutt,kcockshuttp@squidoo.com,Male,179.4.14.103,20/07/2025,66,7124,9121,High CLV Customers
27,Golda,Goscar,ggoscarq@indiatimes.com,Female,184.202.108.247,18/12/2024,80,2565,2728,Churn Risk
28,Merrie,Skains,mskainsr@blog.com,Female,105.174.252.244,12/03/2025,61,18929,1985,Churn Risk
29,Rubetta,Rauprich,rrauprichs@mapy.cz,Female,0.70.250.186,23/12/2024,64,18750,5848,High CLV Customers
30,Dodie,Park,dparkt@cbslocal.com,Female,112.247.37.234,13/03/2025,41,8515,4065,High CLV Customers
31,Ricki,Suttling,rsuttlingu@theguardian.com,Male,82.19.158.34,26/10/2025,64,18419,2209,High CLV Customers
32,Gabi,Dekeyser,gdekeyserv@pbs.org,Male,2.136.164.194,17/01/2025,39,5733,5342,Churn Risk
33,Lanny,Geard,lgeardw@sakura.ne.jp,Male,84.137.70.120,24/03/2025,42,6834,5498,Churn Risk
34,Axel,Gergler,agerglerx@ovh.net,Male,54.152.137.108,10/09/2025,32,843,5082,New Signups (Last 30 Days)
35,Howard,Lorenzetti,hlorenzettiy@biblegateway.com,Male,87.177.93.254,27/05/2025,75,12762,5732,Churn Risk
36,Clywd,Stephenson,cstephensonz@123-reg.co.uk,Male,139.134.148.239,16/04/2025,57,6979,11508,Inactive > 90 Days
37,Brooks,Duval,bduval10@biglobe.ne.jp,Female,124.169.156.96,30/03/2025,66,9396,7185,High CLV Customers
38,Weston,Goward,wgoward11@bloglines.com,Male,37.17.16.2,07/05/2025,18,12573,15021,New Signups (Last 30 Days)
39,Deonne,O'Donohue,dodonohue12@loc.gov,Female,209.45.203.254,22/03/2025,70,14238,7773,Inactive > 90 Days
40,Terrye,Allkins,tallkins13@cnet.com,Female,2.193.187.65,01/09/2025,78,11653,6505,High CLV Customers
41,Rance,Heliar,rheliar14@hugedomains.com,Male,180.230.14.88,19/10/2025,40,12303,18873,High CLV Customers
42,Casey,Speek,cspeek15@netvibes.com,Male,149.201.29.215,18/09/2025,66,3223,8422,New Signups (Last 30 Days)
43,Sky,Brazenor,sbrazenor16@nyu.edu,Non-binary,231.189.78.177,16/07/2025,59,6461,14442,Inactive > 90 Days
44,Allin,Dunderdale,adunderdale17@narod.ru,Male,238.205.207.57,10/09/2025,28,16200,16173,Churn Risk
45,Dolly,Jakubovski,djakubovski18@unicef.org,Female,7.145.215.242,17/04/2025,46,2358,13104,New Signups (Last 30 Days)
46,Malvina,Crosfield,mcrosfield19@ustream.tv,Female,166.177.95.57,06/07/2025,49,4319,12666,High CLV Customers
47,Allen,Abramowitz,aabramowitz1a@freewebs.com,Male,201.228.12.243,06/12/2025,28,2946,8751,High CLV Customers
48,Dudley,Tillard,dtillard1b@mapy.cz,Male,247.196.68.162,24/01/2025,30,9942,11290,New Signups (Last 30 Days)
49,Merrick,Wayt,mwayt1c@ebay.co.uk,Male,135.106.41.215,18/05/2025,72,8590,12744,Churn Risk
50,Dasya,Bamell,dbamell1d@stanford.edu,Female,58.112.225.210,10/08/2025,30,11498,2319,Inactive > 90 Days
51,Rossy,Bunting,rbunting1e@4shared.com,Male,132.219.13.44,03/03/2025,43,8966,13100,New Signups (Last 30 Days)
52,Yard,De La Cote,ydelacote1f@sohu.com,Male,165.97.165.116,14/07/2025,46,5334,6765,Churn Risk
53,Sharron,Rosenstock,srosenstock1g@tinyurl.com,Female,242.130.201.170,21/01/2025,68,16862,1805,New Signups (Last 30 Days)
54,Querida,Williamson,qwilliamson1h@mozilla.com,Female,12.229.238.141,08/08/2025,69,18015,11608,High CLV Customers
55,Zoe,Sorbie,zsorbie1i@bbb.org,Female,137.4.229.196,14/01/2025,35,4093,11338,Inactive > 90 Days
56,Ravi,Laise,rlaise1j@wordpress.org,Male,37.207.186.52,05/10/2025,54,2599,10107,Inactive > 90 Days
57,Ase,Dumsday,adumsday1k@stumbleupon.com,Male,14.127.61.105,23/08/2025,79,19265,13292,High CLV Customers
58,Bev,Duddin,bduddin1l@ft.com,Female,159.199.157.225,24/05/2025,51,3120,7737,High CLV Customers
59,Cynthie,Rockey,crockey1m@sfgate.com,Female,228.42.71.145,30/10/2025,33,14635,5643,High CLV Customers
60,Adina,Sorensen,asorensen1n@edublogs.org,Female,48.158.96.120,12/10/2025,43,14677,207,High CLV Customers
61,Estrellita,Petters,epetters1o@netscape.com,Female,200.183.42.79,31/05/2025,64,1380,10116,Inactive > 90 Days
62,Carlen,Guile,cguile1p@sourceforge.net,Agender,40.121.192.121,18/05/2025,77,3077,6407,Churn Risk
63,Thorsten,Swettenham,tswettenham1q@irs.gov,Male,140.50.1.204,14/08/2025,61,19626,10375,Churn Risk
64,Annette,Filov,afilov1r@taobao.com,Female,151.51.198.138,20/07/2025,62,2619,9824,New Signups (Last 30 Days)
65,Steffen,Ianson,sianson1s@uol.com.br,Male,181.97.53.37,18/10/2025,72,4705,13539,New Signups (Last 30 Days)
66,Caty,Beatey,cbeatey1t@istockphoto.com,Female,79.113.179.91,22/06/2025,79,19350,7834,Inactive > 90 Days
67,Hyacinth,Larvor,hlarvor1u@behance.net,Non-binary,112.117.211.31,18/05/2025,41,4022,12807,High CLV Customers
68,Daisie,Johnes,djohnes1v@harvard.edu,Agender,231.97.35.52,19/08/2025,74,19094,4948,New Signups (Last 30 Days)
69,Catlee,Parks,cparks1w@shinystat.com,Genderfluid,100.143.216.62,29/05/2025,27,1569,11084,Inactive > 90 Days
70,Donavon,Toth,dtoth1x@gnu.org,Male,195.22.15.248,24/07/2025,56,16230,547,New Signups (Last 30 Days)
71,Reinaldos,Hacun,rhacun1y@theatlantic.com,Male,110.164.154.12,04/08/2025,30,6110,1790,Inactive > 90 Days
72,Gerhard,Sibbit,gsibbit1z@noaa.gov,Male,60.160.198.4,27/11/2025,21,16186,6153,Inactive > 90 Days
73,Lindon,Hakewell,lhakewell20@dailymotion.com,Male,251.168.23.65,09/09/2025,52,3796,539,Churn Risk
74,Huntley,Dalziell,hdalziell21@house.gov,Male,88.43.26.104,02/05/2025,43,16210,9123,Inactive > 90 Days
75,Emmanuel,Gregoire,egregoire22@fda.gov,Male,181.61.109.93,14/07/2025,42,2963,14680,High CLV Customers
76,Charmian,Vaughan-Hughes,cvaughanhughes23@mlb.com,Female,228.124.206.21,06/01/2025,63,15292,15661,High CLV Customers
77,Rudiger,Powles,rpowles24@exblog.jp,Male,236.70.158.28,07/03/2025,40,4261,16518,New Signups (Last 30 Days)
78,Teddi,Lewnden,tlewnden25@qq.com,Female,181.74.73.114,27/12/2024,33,9690,11221,High CLV Customers
79,Linn,Berkowitz,lberkowitz26@fema.gov,Female,84.30.146.136,25/03/2025,78,4412,15331,Inactive > 90 Days
80,Yvonne,Bingall,ybingall27@feedburner.com,Polygender,201.103.247.48,06/11/2025,76,19516,3481,High CLV Customers
81,Joly,Hamil,jhamil28@arstechnica.com,Female,55.150.70.95,09/04/2025,51,9075,1975,Inactive > 90 Days
82,Sid,Imms,simms29@discuz.net,Male,59.167.176.23,01/06/2025,22,15203,9842,Inactive > 90 Days
83,Tracy,Warrender,twarrender2a@meetup.com,Male,41.187.94.95,30/08/2025,47,19039,1598,Churn Risk
84,Silvanus,Witty,switty2b@myspace.com,Male,76.151.163.223,11/06/2025,63,17427,1813,Churn Risk
85,Ardyce,Metcalfe,ametcalfe2c@bloglovin.com,Female,235.36.203.204,25/06/2025,62,4812,18524,High CLV Customers
86,Jdavie,Sopper,jsopper2d@hostgator.com,Male,121.46.172.217,17/06/2025,73,19532,15932,Churn Risk
87,Arabella,Freear,afreear2e@globo.com,Female,176.186.28.44,28/09/2025,20,15616,6226,Inactive > 90 Days
88,Aldus,Goodson,agoodson2f@people.com.cn,Male,71.227.213.87,21/09/2025,49,10202,18968,High CLV Customers
89,Linn,Culverhouse,lculverhouse2g@usgs.gov,Male,193.222.139.65,23/12/2024,20,18762,15829,High CLV Customers
90,Odelinda,Hauxley,ohauxley2h@guardian.co.uk,Female,128.145.15.253,11/02/2025,28,15165,12300,Inactive > 90 Days
91,Hulda,Mabbe,hmabbe2i@virginia.edu,Female,101.3.197.183,11/04/2025,70,2483,14538,Inactive > 90 Days
92,Kiley,Shann,kshann2j@mayoclinic.com,Male,13.128.147.188,20/01/2025,20,263,3492,New Signups (Last 30 Days)
93,Dalston,Hewes,dhewes2k@instagram.com,Male,46.206.250.240,09/12/2024,75,8357,1694,Churn Risk
94,Dyane,Armal,darmal2l@nih.gov,Female,48.6.70.133,15/08/2025,46,18832,2682,New Signups (Last 30 Days)
95,Bo,Edmunds,bedmunds2m@lycos.com,Male,20.153.54.60,16/05/2025,66,6791,18209,Churn Risk
96,Odelle,Thomkins,othomkins2n@utexas.edu,Bigender,214.95.161.142,30/01/2025,50,7058,19882,Churn Risk
97,Lion,Faires,lfaires2o@woothemes.com,Male,143.109.244.150,01/09/2025,66,15217,19378,New Signups (Last 30 Days)
98,Melly,Gotcher,mgotcher2p@hc360.com,Female,212.75.119.78,29/11/2025,58,14390,14732,Inactive > 90 Days
99,Paige,Stelfox,pstelfox2q@miitbeian.gov.cn,Male,49.71.82.35,04/05/2025,78,11229,6314,Inactive > 90 Days
100,Midge,Kuhnt,mkuhnt2r@eepurl.com,Female,12.85.96.167,14/02/2025,25,5520,190,High CLV Customers
101,Maggee,Mc Coughan,mmccoughan2s@twitter.com,Female,62.190.205.185,08/03/2025,50,776,10457,Inactive > 90 Days
102,Karlis,Packington,kpackington2t@upenn.edu,Male,7.158.122.50,06/01/2025,78,11098,18315,High CLV Customers
103,Lief,Barttrum,lbarttrum2u@4shared.com,Male,106.32.45.154,09/03/2025,74,18112,1685,New Signups (Last 30 Days)
104,Rica,Carville,rcarville2v@spotify.com,Female,144.64.122.254,16/08/2025,43,7217,8205,Inactive > 90 Days
105,Nerta,Stirrup,nstirrup2w@typepad.com,Female,155.30.232.63,23/04/2025,68,16300,9759,Inactive > 90 Days
106,Ashly,FitzAlan,afitzalan2x@marriott.com,Female,243.112.171.239,14/10/2025,73,18750,7756,High CLV Customers
107,Janean,Stubbert,jstubbert2y@lycos.com,Female,68.210.83.50,16/12/2024,24,16452,14846,Churn Risk
108,Reynard,Perren,rperren2z@spotify.com,Male,252.236.65.159,06/08/2025,47,1155,15197,New Signups (Last 30 Days)
109,Ruy,Newbury,rnewbury30@ibm.com,Male,149.190.85.233,29/12/2024,52,12633,1874,Churn Risk
110,Theodor,Burdon,tburdon31@sfgate.com,Male,161.3.28.48,06/09/2025,35,19671,19000,Inactive > 90 Days
111,Ogdon,Armiger,oarmiger32@youtube.com,Non-binary,124.0.244.218,19/06/2025,74,10698,6161,Churn Risk
112,Yule,Brend,ybrend33@theatlantic.com,Male,201.141.145.133,31/12/2024,47,12376,13357,Inactive > 90 Days
113,Maurise,Lynam,mlynam34@nih.gov,Male,221.134.60.100,26/10/2025,65,4872,13465,High CLV Customers
114,Lemmy,Blissett,lblissett35@europa.eu,Male,145.132.100.233,27/08/2025,27,13556,16762,New Signups (Last 30 Days)
115,Carver,Babinski,cbabinski36@mac.com,Male,179.92.27.131,18/02/2025,70,18038,10275,New Signups (Last 30 Days)
116,Charin,Burch,cburch37@newyorker.com,Female,89.218.49.214,23/08/2025,79,18872,3962,New Signups (Last 30 Days)
117,Beth,Egel,begel38@unicef.org,Female,209.117.23.107,06/10/2025,38,15633,18557,Inactive > 90 Days
118,Juieta,Boecke,jboecke39@washingtonpost.com,Non-binary,88.123.7.31,18/03/2025,64,5538,5166,High CLV Customers
119,Gay,Arundel,garundel3a@networkadvertising.org,Polygender,183.52.159.166,14/06/2025,60,4427,10896,High CLV Customers
120,Jordan,Cordeau,jcordeau3b@ucla.edu,Male,78.29.103.115,30/12/2024,49,9165,266,Churn Risk
121,Deina,Torritti,dtorritti3c@netscape.com,Female,35.226.226.180,03/04/2025,38,16767,11984,Inactive > 90 Days
122,Yanaton,French,yfrench3d@opensource.org,Agender,178.121.116.0,18/02/2025,73,2113,5810,Churn Risk
123,Frederik,Jurzyk,fjurzyk3e@sohu.com,Male,104.15.119.37,22/06/2025,48,4060,2944,Churn Risk
124,Perkin,Bantham,pbantham3f@behance.net,Male,104.144.242.133,22/06/2025,72,14838,19985,Inactive > 90 Days
125,Marie-ann,Calendar,mcalendar3g@4shared.com,Female,163.91.63.44,23/01/2025,46,14721,12494,Inactive > 90 Days
126,Gavin,Luigi,gluigi3h@wufoo.com,Male,223.46.74.230,02/04/2025,28,10265,8956,Churn Risk
127,Den,Gertray,dgertray3i@salon.com,Male,87.228.240.215,20/08/2025,44,18060,9659,Churn Risk
128,Breena,Moncaster,bmoncaster3j@dot.gov,Female,21.71.158.148,28/01/2025,49,17841,1984,New Signups (Last 30 Days)
129,Devy,Duer,dduer3k@gnu.org,Male,109.184.169.242,02/02/2025,35,13447,1691,New Signups (Last 30 Days)
130,Town,Simons,tsimons3l@tripod.com,Male,47.199.55.142,23/08/2025,25,5835,8940,Inactive > 90 Days
131,Lazaro,Bearblock,lbearblock3m@narod.ru,Male,185.191.191.239,31/05/2025,64,12702,1797,Churn Risk
132,Bobbye,Clair,bclair3n@reference.com,Female,18.226.66.81,05/01/2025,34,611,6223,Inactive > 90 Days
133,Rodd,Swannack,rswannack3o@sciencedirect.com,Male,93.83.175.159,20/08/2025,25,7850,5066,High CLV Customers
134,Sandy,Satterley,ssatterley3p@deviantart.com,Male,182.132.232.174,10/07/2025,66,2090,18521,High CLV Customers
135,Kendricks,Brice,kbrice3q@economist.com,Bigender,28.46.91.11,06/09/2025,19,3041,17415,New Signups (Last 30 Days)
136,Giacobo,Flecknoe,gflecknoe3r@360.cn,Male,9.212.80.115,21/06/2025,46,5902,618,New Signups (Last 30 Days)
137,Fergus,Bunting,fbunting3s@homestead.com,Male,44.62.97.166,25/04/2025,53,13270,18293,Inactive > 90 Days
138,Aldus,Stambridge,astambridge3t@time.com,Male,253.197.199.190,20/01/2025,73,278,18900,New Signups (Last 30 Days)
139,Renaldo,Leneham,rleneham3u@scientificamerican.com,Male,232.209.187.191,31/03/2025,30,9592,2895,High CLV Customers
140,Brit,Mendez,bmendez3v@nifty.com,Female,202.123.101.72,28/02/2025,52,10893,11483,Inactive > 90 Days
141,Irvin,McChesney,imcchesney3w@merriam-webster.com,Male,87.158.16.129,18/05/2025,38,4937,17641,Churn Risk
142,Lorinda,Filyaev,lfilyaev3x@statcounter.com,Female,56.122.139.233,14/08/2025,62,6879,13440,Inactive > 90 Days
143,Humfried,Dowsey,hdowsey3y@simplemachines.org,Male,92.187.189.208,08/07/2025,75,19792,3808,High CLV Customers
144,Coop,Carpenter,ccarpenter3z@topsy.com,Male,206.0.174.58,27/08/2025,54,10592,4122,New Signups (Last 30 Days)
145,Berkie,Sodor,bsodor40@vkontakte.ru,Male,177.19.90.181,01/12/2025,68,15985,1644,Churn Risk
146,Jorrie,Tatlock,jtatlock41@unicef.org,Female,10.251.181.5,30/06/2025,28,16190,554,New Signups (Last 30 Days)
147,Addison,Clotworthy,aclotworthy42@diigo.com,Male,139.133.214.116,04/02/2025,44,18335,1499,Inactive > 90 Days
148,Munroe,Maillard,mmaillard43@craigslist.org,Male,117.53.174.29,20/03/2025,18,2204,5941,Churn Risk
149,Judd,Hallas,jhallas44@independent.co.uk,Male,1.121.63.232,01/07/2025,46,18369,2849,New Signups (Last 30 Days)
150,Charil,Rozec,crozec45@ucla.edu,Female,186.106.254.127,18/02/2025,79,4531,9407,New Signups (Last 30 Days)
151,Spenser,Rupprecht,srupprecht46@geocities.jp,Male,50.32.205.131,25/07/2025,56,4456,14833,Inactive > 90 Days
152,Bone,Seleway,bseleway47@independent.co.uk,Male,186.233.243.191,19/08/2025,75,12105,12136,Inactive > 90 Days
153,Moore,Wyllt,mwyllt48@seattletimes.com,Male,27.135.138.44,30/04/2025,40,8991,14269,High CLV Customers
154,Sidoney,Drydale,sdrydale49@printfriendly.com,Female,200.190.89.249,09/01/2025,78,16466,4917,Inactive > 90 Days
155,Reiko,Jannasch,rjannasch4a@pinterest.com,Female,190.199.169.155,02/01/2025,34,3644,17788,Churn Risk
156,Phip,Fante,pfante4b@ebay.co.uk,Male,217.211.215.128,06/11/2025,54,7697,17355,New Signups (Last 30 Days)
157,Bernadene,Yashin,byashin4c@nifty.com,Female,70.128.209.31,15/07/2025,30,1146,136,High CLV Customers
158,Stuart,Varnes,svarnes4d@com.com,Male,56.254.31.69,15/02/2025,66,19661,10537,High CLV Customers
159,Cherey,Base,cbase4e@bandcamp.com,Genderqueer,198.87.72.47,26/08/2025,37,16422,4621,Inactive > 90 Days
160,Mitch,Oganian,moganian4f@si.edu,Male,164.31.184.106,07/06/2025,65,18048,9260,New Signups (Last 30 Days)
161,Salem,Tabourier,stabourier4g@usa.gov,Male,40.46.45.209,20/07/2025,77,10145,12932,Inactive > 90 Days
162,Grata,Vaneschi,gvaneschi4h@nhs.uk,Female,93.212.149.130,13/01/2025,59,175,9327,New Signups (Last 30 Days)
163,Casandra,Gerrish,cgerrish4i@globo.com,Female,226.111.228.66,06/01/2025,34,14080,3011,High CLV Customers
164,Marlin,Cahey,mcahey4j@barnesandnoble.com,Male,27.55.198.235,25/04/2025,50,12017,9365,Inactive > 90 Days
165,Courtney,Pittel,cpittel4k@cbsnews.com,Female,122.15.241.150,25/11/2025,67,3768,5241,Churn Risk
166,Town,Armit,tarmit4l@elpais.com,Male,109.85.185.225,21/06/2025,65,18163,8223,Churn Risk
167,Inigo,Epperson,iepperson4m@china.com.cn,Male,220.40.87.120,15/12/2024,40,5832,8827,High CLV Customers
168,Trixie,Bowlands,tbowlands4n@youtube.com,Female,77.227.9.188,17/05/2025,46,4480,10291,High CLV Customers
169,Clarice,De Rye Barrett,cderyebarrett4o@kickstarter.com,Genderfluid,181.65.47.0,28/07/2025,38,8682,1200,High CLV Customers
170,Barbette,Totterdill,btotterdill4p@seattletimes.com,Genderfluid,83.219.18.231,28/10/2025,54,4196,7922,High CLV Customers
171,Ainslie,Balassi,abalassi4q@vkontakte.ru,Female,252.211.102.96,16/07/2025,33,14644,6955,Churn Risk
172,Marcie,Watmough,mwatmough4r@uol.com.br,Bigender,120.53.187.251,26/12/2024,74,18652,332,New Signups (Last 30 Days)
173,Ariel,Necolds,anecolds4s@163.com,Genderfluid,248.202.228.31,21/06/2025,72,2320,9934,New Signups (Last 30 Days)
174,Davin,Mertgen,dmertgen4t@cisco.com,Male,243.187.85.115,14/07/2025,39,1929,17432,Inactive > 90 Days
175,Germana,Darwent,gdarwent4u@arizona.edu,Female,238.45.32.48,19/02/2025,49,12223,9287,New Signups (Last 30 Days)
176,Amy,Haggis,ahaggis4v@yandex.ru,Female,193.135.246.56,15/09/2025,28,925,13015,New Signups (Last 30 Days)
177,Merilyn,Riddles,mriddles4w@cocolog-nifty.com,Female,14.8.69.137,08/01/2025,36,3987,18228,High CLV Customers
178,Dara,Bealton,dbealton4x@usgs.gov,Female,111.209.42.35,04/05/2025,43,16547,1786,Churn Risk
179,Karil,de Clerc,kdeclerc4y@bing.com,Female,248.107.214.179,19/11/2025,80,8698,18174,Churn Risk
180,Codie,Tolley,ctolley4z@nih.gov,Male,165.22.83.169,31/03/2025,47,7899,1142,New Signups (Last 30 Days)
181,Yolanda,Cesaric,ycesaric50@csmonitor.com,Female,79.162.113.205,03/01/2025,52,19611,13542,Churn Risk
182,Mahmoud,MacCleod,mmaccleod51@tripadvisor.com,Male,143.221.63.183,02/09/2025,53,10797,1604,New Signups (Last 30 Days)
183,Billy,Dahlbom,bdahlbom52@1688.com,Polygender,30.162.47.147,02/03/2025,23,17085,5907,High CLV Customers
184,Dew,Curneen,dcurneen53@over-blog.com,Male,37.192.227.117,11/04/2025,34,11828,16775,Churn Risk
185,Ernest,De Beneditti,edebeneditti54@paypal.com,Male,180.156.20.153,09/08/2025,70,10527,17126,High CLV Customers
186,Ernestus,Leate,eleate55@statcounter.com,Male,221.21.208.147,07/07/2025,51,16535,16142,New Signups (Last 30 Days)
187,Farrell,Blenkensop,fblenkensop56@uol.com.br,Male,30.42.27.42,19/06/2025,22,9363,357,High CLV Customers
188,Maryanna,Harp,mharp57@chronoengine.com,Agender,132.94.164.114,26/10/2025,67,19843,15915,New Signups (Last 30 Days)
189,Rolando,Durston,rdurston58@deviantart.com,Male,37.50.59.65,13/12/2024,79,14992,19761,New Signups (Last 30 Days)
190,Stormi,Illing,silling59@zimbio.com,Female,116.105.0.84,25/04/2025,71,5065,4075,Inactive > 90 Days
191,Amie,Chilver,achilver5a@noaa.gov,Female,217.84.59.180,29/06/2025,56,2614,11988,High CLV Customers
192,De witt,Trounson,dtrounson5b@google.it,Male,79.237.85.42,20/06/2025,58,19143,5883,High CLV Customers
193,Augusta,Wiggin,awiggin5c@a8.net,Female,16.60.148.88,29/09/2025,45,15152,10510,New Signups (Last 30 Days)
194,Rosie,Shellcross,rshellcross5d@histats.com,Agender,174.193.139.89,30/08/2025,64,8062,13920,Churn Risk
195,Kellen,Behagg,kbehagg5e@wikia.com,Female,2.221.113.17,11/10/2025,50,5412,1779,Inactive > 90 Days
196,Celestyn,De Witt,cdewitt5f@google.de,Female,242.205.213.206,11/02/2025,23,1262,3959,Churn Risk
197,Mikel,Spenley,mspenley5g@princeton.edu,Male,223.63.29.134,08/11/2025,27,18810,7527,Inactive > 90 Days
198,Loralyn,Dudenie,ldudenie5h@blog.com,Female,108.72.160.156,18/05/2025,30,12927,4934,Inactive > 90 Days
199,Toby,Yoskowitz,tyoskowitz5i@indiatimes.com,Female,38.129.243.191,27/05/2025,43,19610,11633,Inactive > 90 Days
200,Lamont,Puve,lpuve5j@imdb.com,Male,235.210.141.87,05/05/2025,61,1622,7776,Churn Risk
201,Aila,Life,alife5k@ocn.ne.jp,Female,50.56.38.29,18/09/2025,58,18279,9262,High CLV Customers
202,Leonora,Winckle,lwinckle5l@twitpic.com,Female,197.200.17.132,14/07/2025,50,19178,6192,Inactive > 90 Days
203,Selie,Alyokhin,salyokhin5m@reverbnation.com,Female,39.82.34.34,16/05/2025,59,7156,1546,High CLV Customers
204,Edyth,O'Giany,eogiany5n@google.cn,Female,20.52.9.240,20/04/2025,38,4850,5028,High CLV Customers
205,Wolfgang,Andren,wandren5o@a8.net,Male,252.22.107.40,15/10/2025,49,7940,998,Inactive > 90 Days
206,Isobel,Richardes,irichardes5p@smh.com.au,Female,124.175.121.233,28/08/2025,48,4328,19676,Churn Risk
207,Robb,Grivori,rgrivori5q@biglobe.ne.jp,Male,242.231.127.78,14/12/2024,24,12363,3444,New Signups (Last 30 Days)
208,Atlante,McLuckie,amcluckie5r@seesaa.net,Female,59.138.13.223,06/05/2025,36,15394,1834,High CLV Customers
209,Sid,Kirkby,skirkby5s@tamu.edu,Male,24.85.22.135,09/08/2025,58,18195,2072,High CLV Customers
210,Ted,Sammon,tsammon5t@auda.org.au,Male,81.61.198.239,26/06/2025,45,16313,312,Inactive > 90 Days
211,Arman,Matyushenko,amatyushenko5u@simplemachines.org,Male,213.67.66.248,24/05/2025,56,10792,8034,New Signups (Last 30 Days)
212,Mata,Blakemore,mblakemore5v@comcast.net,Male,226.10.36.231,14/10/2025,67,8395,3069,New Signups (Last 30 Days)
213,Kylie,Shyram,kshyram5w@a8.net,Male,150.180.40.242,13/11/2025,50,632,18192,High CLV Customers
214,Brose,Feehely,bfeehely5x@toplist.cz,Male,59.46.144.166,07/01/2025,79,8673,12585,High CLV Customers
215,Joana,Baalham,jbaalham5y@jugem.jp,Female,107.134.94.31,12/10/2025,78,418,15620,New Signups (Last 30 Days)
216,Gustave,Pawley,gpawley5z@prnewswire.com,Male,187.42.104.54,09/06/2025,80,3788,6174,High CLV Customers
217,Fletch,Matveiko,fmatveiko60@etsy.com,Male,245.57.168.87,11/06/2025,20,1658,14112,High CLV Customers
218,Francyne,Josephs,fjosephs61@china.com.cn,Female,118.181.21.42,24/08/2025,29,14617,4800,New Signups (Last 30 Days)
219,Kally,Feldstern,kfeldstern62@buzzfeed.com,Female,26.232.242.75,12/12/2024,48,10745,1788,Inactive > 90 Days
220,Norry,Spinney,nspinney63@msu.edu,Female,191.128.14.208,26/02/2025,33,4878,15186,High CLV Customers
221,Isacco,Peattie,ipeattie64@devhub.com,Male,23.18.74.75,14/03/2025,38,2676,13816,High CLV Customers
222,Teddy,Shires,tshires65@scribd.com,Male,200.130.186.204,16/01/2025,70,9274,17064,New Signups (Last 30 Days)
223,Gilemette,Munden,gmunden66@jiathis.com,Female,165.25.158.239,29/03/2025,23,19544,19500,Inactive > 90 Days
